Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,IMDb
The Irishman,2019,18+,98,1,0,0,0,0,9.8
Dangal,2016,7+,97,1,0,0,0,0,9.7
David Attenborough: A Life on Our Planet,2020,7+,95,1,0,0,0,0,9.5
Lagaan: Once Upon a Time in India,2001,7+,94,1,0,0,0,0,9.4
Roma,2018,18+,94,1,0,0,0,0,9.4
To All the Boys I've Loved Before,2018,13+,94,1,0,0,0,0,9.4
The Social Dilemma,2020,13+,93,1,0,0,0,0,9.3
Okja,2017,13+,92,1,0,0,0,0,9.2
The Ballad of Buster Scruggs,2018,16+,92,1,0,0,0,0,9.2
The Trial of the Chicago 7,2020,18+,92,1,0,0,0,0,9.2
Article 15,2019,18+,92,1,0,0,0,0,9.2
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92,1,0,0,0,0,9.2
Dolemite Is My Name,2019,18+,92,1,0,0,0,0,9.2
Mudbound,2017,18+,91,1,0,0,0,0,9.1
Swades,2004,all,91,1,0,0,0,0,9.1
Fyre,2019,18+,91,1,0,0,0,0,9.1
Miss Americana,2020,18+,90,1,0,0,0,0,9.0
Virunga,2014,16+,90,1,0,0,0,0,9.0
Black Friday,2004,18+,90,1,0,0,0,0,9.0
Talvar,2015,7+,90,1,0,0,0,0,9.0
The King,2019,18+,90,1,0,0,0,0,9.0
John Mulaney: Kid Gorgeous at Radio City,2018,18+,89,1,0,0,0,0,8.9
I Am Mother,2019,13+,89,1,0,0,0,0,8.9
Tell Me Who I Am,2019,18+,89,1,0,0,0,0,8.9
The Departed,2006,18+,89,1,0,0,0,0,8.9
Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89,1,0,0,0,0,8.9
Terminator 2: Judgment Day,1991,18+,89,1,0,0,0,0,8.9
I Lost My Body,2019,18+,89,1,0,0,0,0,8.9
Django Unchained,2012,18+,89,1,0,0,0,0,8.9
The Half of It,2020,13+,89,1,0,0,0,0,8.9
The Boy Who Harnessed the Wind,2019,7+,89,1,0,0,0,0,8.9
The Devil All the Time,2020,18+,89,1,0,0,0,0,8.9
The Fundamentals of Caring,2016,18+,89,1,0,0,0,0,8.9
Pieces of a Woman,2020,18+,88,1,0,0,0,0,8.8
Gerald's Game,2017,18+,88,1,0,0,0,0,8.8
On Body and Soul,2017,18+,88,1,0,0,0,0,8.8
Shutter Island,2010,18+,88,1,0,0,0,0,8.8
Always Be My Maybe,2019,13+,88,1,0,0,0,0,8.8
The Intouchables,2011,7+,88,1,0,0,0,0,8.8
Bill Burr: Paper Tiger,2019,18+,87,1,0,0,0,0,8.7
Special 26,2013,18+,87,1,0,0,0,0,8.7
Kiss the Ground,2020,18+,87,1,0,0,0,0,8.7
Crip Camp: A Disability Revolution,2020,18+,87,1,0,0,0,0,8.7
Extraction,2020,18+,87,1,0,0,0,0,8.7
No Direction Home: Bob Dylan,2005,all,87,1,0,0,0,0,8.7
Kabhi Khushi Kabhie Gham,2001,all,87,1,0,0,0,0,8.7
His House,2020,16+,87,1,0,0,0,0,8.7
Super Deluxe,2019,18+,87,1,0,0,0,0,8.7
The Guernsey Literary & Potato Peel Pie Society,2018,16+,87,1,0,0,0,0,8.7
A Secret Love,2020,18+,87,1,0,0,0,0,8.7
The Night Comes for Us,2018,18+,87,1,0,0,0,0,8.7
The Big Lebowski,1998,18+,87,1,0,0,0,0,8.7
Pad Man,2018,13+,87,1,0,0,0,0,8.7
American Factory,2019,13+,86,1,0,0,0,0,8.6
Bird Box,2018,18+,86,1,0,0,0,0,8.6
The Pianist,2002,18+,86,1,0,0,0,0,8.6
3 Idiots,2009,13+,86,1,0,0,0,0,8.6
The Distinguished Citizen,2016,18+,86,1,0,0,0,0,8.6
A Shaun the Sheep Movie: Farmageddon,2019,all,86,1,0,0,0,0,8.6
A Clockwork Orange,1971,18+,86,1,0,0,0,0,8.6
What Happened to Monday,2017,18+,86,1,0,0,0,0,8.6
Anthony Jeselnik: Thoughts and Prayers,2015,18+,86,1,0,0,0,0,8.6
The White Helmets,2016,16+,86,1,0,0,0,0,8.6
Invader ZIM: Enter the Florpus,2019,7+,86,1,0,0,0,0,8.6
Happy as Lazzaro,2018,13+,85,1,0,0,0,0,8.5
Chasing Coral,2017,18+,85,1,0,0,0,0,8.5
Kal Ho Naa Ho,2003,all,85,1,0,0,0,0,8.5
Pan's Labyrinth,2006,18+,85,1,0,0,0,0,8.5
Team Foxcatcher,2016,16+,85,1,0,0,0,0,8.5
The Meyerowitz Stories (New and Selected),2017,18+,85,1,0,0,0,0,8.5
Casino Royale,2006,13+,85,1,0,0,0,0,8.5
The Hateful Eight,2015,18+,85,1,0,0,0,0,8.5
Rush,2013,18+,84,1,0,0,0,0,8.4
Zombieland,2009,18+,84,1,0,0,0,0,8.4
Eurovision Song Contest: The Story of Fire Saga,2020,13+,84,1,0,0,0,0,8.4
Kapoor & Sons,2016,13+,84,1,0,0,0,0,8.4
The Perfection,2018,18+,84,1,0,0,0,0,8.4
Dave Chappelle: Sticks & Stones,2019,18+,84,1,0,0,0,0,8.4
There Will Be Blood,2007,18+,84,1,0,0,0,0,8.4
Million Dollar Baby,2004,13+,84,1,0,0,0,0,8.4
The Social Network,2010,13+,84,1,1,0,0,0,8.4
The Christmas Chronicles,2018,7+,84,1,0,0,0,0,8.4
Monty Python and the Holy Grail,1975,7+,84,1,0,0,0,0,8.4
The Pixar Story,2007,all,84,1,0,0,0,0,8.4
Ma Rainey's Black Bottom,2020,18+,84,1,0,0,0,0,8.4
Calibre,2018,18+,84,1,0,0,0,0,8.4
Silver Linings Playbook,2012,18+,84,1,0,0,0,0,8.4
Over the Moon,2020,7+,84,1,0,0,0,0,8.4
"What Happened, Miss Simone?",2015,18+,84,1,0,0,0,0,8.4
Nightcrawler,2014,18+,84,1,0,0,0,0,8.4
1922,2017,18+,84,1,0,0,0,0,8.4
Paddleton,2019,18+,84,1,0,0,0,0,8.4
Cargo,2017,18+,84,1,0,0,0,0,8.4
Rain Man,1988,18+,83,1,0,0,0,0,8.3
Cuba and the Cameraman,2017,18+,83,1,0,0,0,0,8.3
The Ritual,2017,18+,83,1,0,0,0,0,8.3
The Hater,2020,18+,83,1,0,0,0,0,8.3
The Edge of Democracy,2019,16+,83,1,0,0,0,0,8.3
22-Jul,2018,18+,83,1,0,0,0,0,8.3
Adam Sandler: 100% Fresh,2018,18+,83,1,0,0,0,0,8.3
Guru,2007,13+,83,1,0,0,0,0,8.3
A Twelve-Year Night,2018,18+,83,1,0,0,0,0,8.3
Dumplin',2018,13+,83,1,0,0,0,0,8.3
The Conjuring,2013,18+,83,1,0,0,0,0,8.3
Marriage Story,2019,18+,83,1,0,0,0,0,8.3
My Octopus Teacher,2020,all,83,1,0,0,0,0,8.3
About Time,2013,13+,83,1,0,0,0,0,8.3
Hey Arnold! The Jungle Movie,2017,7+,83,1,1,0,0,0,8.3
Kung Fu Panda,2008,7+,83,1,0,0,0,0,8.3
Superbad,2007,18+,83,1,0,0,0,0,8.3
The Invisible Guest,2016,18+,83,1,0,0,0,0,8.3
Chinatown,1974,18+,82,1,0,0,0,0,8.2
Mystic River,2003,18+,82,1,0,0,0,0,8.2
The Theory of Everything,2014,13+,82,1,0,0,0,0,8.2
Springsteen On Broadway,2018,18+,82,1,0,0,0,0,8.2
The Life Ahead,2020,13+,82,1,0,0,0,0,8.2
The Terminal,2004,13+,82,1,0,1,0,0,8.2
Scott Pilgrim vs. the World,2010,13+,82,1,0,0,0,0,8.2
Being Elmo: A Puppeteer's Journey,2011,7+,82,1,0,0,0,0,8.2
Life of Brian,1979,18+,82,1,0,0,0,0,8.2
The Resistance Banker,2018,18+,82,1,0,0,0,0,8.2
How to Train Your Dragon 2,2014,7+,82,1,0,0,0,0,8.2
The Endless Trench,2019,18+,82,1,0,0,0,0,8.2
Even the Rain,2010,18+,82,1,0,0,0,0,8.2
Love Actually,2003,18+,82,1,0,0,0,0,8.2
Dear Ex,2018,18+,82,1,0,0,0,0,8.2
Braven,2018,18+,82,1,0,0,0,0,8.2
Period. End of Sentence.,2018,18+,82,1,0,0,0,0,8.2
Captain Fantastic,2016,18+,82,1,0,0,0,0,8.2
Veronica,2017,18+,81,1,0,0,0,0,8.1
The Siege of Jadotville,2016,18+,81,1,0,0,0,0,8.1
Into the Inferno,2016,18+,81,1,0,0,0,0,8.1
Ricky Gervais: Humanity,2018,18+,81,1,0,0,0,0,8.1
A Whisker Away,2020,7+,81,1,0,0,0,0,8.1
Lady Bird,2017,18+,81,1,0,0,0,0,8.1
Road to Perdition,2002,18+,81,1,0,0,0,0,8.1
Boogie Nights,1997,18+,81,1,0,0,0,0,8.1
Total Recall,1990,16+,81,1,0,0,0,0,8.1
Bo Burnham: Inside,2021,18+,81,1,0,0,0,0,8.1
Snowpiercer,2013,18+,81,1,0,0,0,0,8.1
Circus of Books,2019,18+,81,1,0,0,0,0,8.1
Tallulah,2016,18+,81,1,0,0,0,0,8.1
The Conjuring 2,2016,18+,81,1,0,0,0,0,8.1
They'll Love Me When I'm Dead,2018,18+,81,1,0,0,0,0,8.1
Nocturnal Animals,2016,18+,81,1,0,0,0,0,8.1
Get Me Roger Stone,2017,16+,81,1,0,0,0,0,8.1
Hachi: A Dog's Tale,2009,all,81,1,0,0,0,0,8.1
Dances with Wolves,1990,13+,80,1,0,0,0,0,8.0
Udta Punjab,2016,18+,80,1,0,0,0,0,8.0
Bareilly's Barfi,2017,18+,80,1,0,0,0,0,8.0
Divines,2016,18+,80,1,0,0,0,0,8.0
Maktub,2017,7+,80,1,0,0,0,0,8.0
Ittefaq,2017,7+,80,1,0,0,0,0,8.0
Hannah Gadsby: Nanette,2018,18+,80,1,0,0,0,0,8.0
Ali Wong: Hard Knock Wife,2018,18+,80,1,0,0,0,0,8.0
Seven Pounds,2008,13+,80,1,0,1,0,0,8.0
Uncut Gems,2019,18+,80,1,0,0,0,0,8.0
The Kindergarten Teacher,2018,18+,80,1,0,0,0,0,8.0
Les Misérables,2012,13+,80,1,0,1,0,0,8.0
The Sky Is Pink,2019,18+,80,1,0,0,0,0,8.0
Next Gen,2018,7+,80,1,0,0,0,0,8.0
Tom Segura: Disgraceful,2018,13+,80,1,0,0,0,0,8.0
My Happy Family,2017,18+,80,1,0,0,0,0,8.0
The American Meme,2018,18+,80,1,0,0,0,0,8.0
Badla,2019,7+,80,1,0,0,0,0,8.0
Okko's Inn,2018,7+,80,1,0,0,0,0,8.0
The Willoughbys,2020,7+,80,1,0,0,0,0,8.0
Hunt for the Wilderpeople,2016,13+,80,1,1,0,0,0,8.0
Stardust,2007,13+,79,1,0,0,0,0,7.9
Wheelman,2017,18+,79,1,0,0,0,0,7.9
The Artist,2011,13+,79,1,1,0,0,0,7.9
On My Skin,2018,18+,79,1,0,0,0,0,7.9
Gaga: Five Foot Two,2017,18+,79,1,0,0,0,0,7.9
Hugo,2011,7+,79,1,0,0,0,0,7.9
The Impossible,2012,13+,79,1,0,0,0,0,7.9
War Dogs,2016,18+,79,1,0,0,0,0,7.9
Ip Man,2008,18+,79,1,0,0,0,0,7.9
The Speed Cubers,2020,18+,79,1,0,0,0,0,7.9
Kung Fu Panda 2,2011,7+,79,1,0,0,0,0,7.9
The Dirt,2019,18+,79,1,0,0,0,0,7.9
Andhadhun,2018,18+,79,1,0,0,0,0,7.9
Atlantics,2019,13+,79,1,0,0,0,0,7.9
37 Seconds,2019,18+,79,1,0,0,0,0,7.9
El Camino: A Breaking Bad Movie,2019,18+,79,1,0,0,0,0,7.9
Underworld,2003,18+,79,1,1,1,0,0,7.9
The Ring,2002,13+,79,1,0,1,0,0,7.9
Hold the Dark,2018,18+,79,1,0,0,0,0,7.9
The Karate Kid,1984,7+,79,1,0,0,0,0,7.9
Quincy,2018,18+,79,1,0,0,0,0,7.9
The Patriot,2000,18+,79,1,0,0,0,0,7.9
Get In,2019,18+,79,1,0,0,0,0,7.9
ZZ Top: That Little Ol' Band From Texas,2019,18+,79,1,0,0,0,0,7.9
Jerry Before Seinfeld,2017,16+,79,1,0,0,0,0,7.9
Mike Birbiglia: The New One,2019,18+,78,1,0,0,0,0,7.8
A Silent Voice: The Movie,2016,13+,78,1,0,0,0,0,7.8
Klaus,2019,7+,78,1,0,0,0,0,7.8
Snowden,2016,18+,78,1,0,0,0,0,7.8
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,78,1,0,0,0,0,7.8
What's Eating Gilbert Grape,1993,13+,78,1,0,0,0,0,7.8
The Da Vinci Code,2006,13+,78,1,1,0,0,0,7.8
Stranger Than Fiction,2006,13+,78,1,0,0,0,0,7.8
Don 2,2011,18+,78,1,0,0,0,0,7.8
Elena,2013,18+,78,1,0,0,0,0,7.8
Real Steel,2011,13+,78,1,0,0,0,0,7.8
The Founder,2017,13+,78,1,0,0,0,0,7.8
Stargate,1994,13+,78,1,0,0,0,0,7.8
Shirkers,2018,18+,78,1,0,0,0,0,7.8
Chef,2014,18+,78,1,0,0,0,0,7.8
Fire in the Blood,2013,18+,78,1,0,0,0,0,7.8
Austin Powers: International Man of Mystery,1997,13+,78,1,0,0,0,0,7.8
Miles Davis: Birth of the Cool,2019,18+,78,1,0,0,0,0,7.8
Insidious,2010,13+,78,1,0,0,0,0,7.8
Screwball,2019,18+,78,1,0,0,0,0,7.8
The Old Guard,2020,18+,78,1,0,0,0,0,7.8
Rango,2011,7+,78,1,0,0,0,0,7.8
Before I Wake,2016,13+,78,1,0,0,0,0,7.8
The Disaster Artist,2017,18+,78,1,0,0,0,0,7.8
Fruitvale Station,2013,18+,77,1,0,0,0,0,7.7
The Florida Project,2017,18+,77,1,0,0,0,0,7.7
Behind the Curve,2018,16+,77,1,0,0,0,0,7.7
Lawless,2012,18+,77,1,0,0,0,0,7.7
Errementari: The Blacksmith and the Devil,2018,18+,77,1,0,0,0,0,7.7
Audrie & Daisy,2016,18+,77,1,0,0,0,0,7.7
Quantum of Solace,2008,13+,77,1,0,0,0,0,7.7
The Master,2012,18+,77,1,0,0,0,0,7.7
Layer Cake,2004,18+,77,1,0,0,0,0,7.7
Flipped,2010,7+,77,1,0,0,0,0,7.7
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,77,1,0,0,0,0,7.7
Friends with Benefits,2011,18+,77,1,1,0,0,0,7.7
Tig,2015,18+,77,1,0,0,0,0,7.7
Roll Red Roll,2019,18+,77,1,0,0,0,0,7.7
Enola Holmes,2020,13+,77,1,0,0,0,0,7.7
PK,2015,13+,77,1,0,0,0,0,7.7
Good Time,2017,18+,77,1,0,0,0,0,7.7
The Next Three Days,2010,13+,77,1,0,0,0,0,7.7
Miracle in Cell No. 7,2019,16+,77,1,0,0,0,0,7.7
Like Stars on Earth,2007,7+,77,1,0,0,0,0,7.7
Trixie Mattel: Moving Parts,2019,18+,77,1,0,0,0,0,7.7
Talaash,2012,18+,77,1,0,0,0,0,7.7
Evelyn,2019,18+,77,1,0,0,0,0,7.7
I Am Sam,2001,13+,77,1,0,0,0,0,7.7
In the Shadow of the Moon,2019,18+,77,1,0,0,0,0,7.7
Neon Genesis Evangelion: The End of Evangelion,1997,18+,77,1,0,0,0,0,7.7
Memoirs of a Geisha,2005,13+,76,1,0,0,0,0,7.6
Mad Max,1979,18+,76,1,0,0,0,0,7.6
John Leguizamo's Latin History for Morons,2018,7+,76,1,0,0,0,0,7.6
And Breathe Normally,2018,16+,76,1,0,0,0,0,7.6
The Killing of a Sacred Deer,2017,18+,76,1,0,0,0,0,7.6
Angels & Demons,2009,13+,76,1,1,0,0,0,7.6
Smoke & Mirrors,2016,18+,76,1,0,0,0,0,7.6
Bright,2017,18+,76,1,0,0,0,0,7.6
Yes Man,2008,13+,76,1,0,0,0,0,7.6
Murder Mystery,2019,13+,76,1,0,0,0,0,7.6
Pink,2016,18+,76,1,0,0,0,0,7.6
The Photographer of Mauthausen,2018,18+,76,1,0,0,0,0,7.6
Midnight Run,1988,18+,76,1,0,0,0,0,7.6
Flavors of Youth,2018,13+,76,1,0,0,0,0,7.6
13th,2016,18+,76,1,0,0,0,0,7.6
Ravenous,2017,18+,76,1,0,0,0,0,7.6
Austin Powers: The Spy Who Shagged Me,1999,13+,76,1,0,0,0,0,7.6
The Life of David Gale,2003,18+,76,1,0,0,0,0,7.6
Tramps,2016,18+,76,1,0,0,0,0,7.6
The Girl Next Door,2004,18+,76,1,0,0,0,0,7.6
The Two Popes,2019,13+,76,1,0,0,0,0,7.6
The Wandering Earth,2019,13+,76,1,0,0,0,0,7.6
Just Another Love Story,2007,18+,76,1,0,0,0,0,7.6
Eye for an Eye,2019,18+,76,1,0,0,0,0,7.6
Patton Oswalt: Annihilation,2017,18+,76,1,0,0,0,0,7.6
Joan Didion: The Center Will Not Hold,2017,18+,76,1,0,0,0,0,7.6
Steve Jobs,2015,18+,76,1,0,0,0,0,7.6
White Fang,2018,7+,76,1,0,0,1,0,7.6
A Monster Calls,2016,13+,76,1,0,0,0,0,7.6
Olympus Has Fallen,2013,18+,76,1,0,0,0,0,7.6
Talladega Nights: The Ballad of Ricky Bobby,2006,13+,76,1,0,0,0,0,7.6
The Time Traveler's Wife,2009,13+,76,1,0,0,0,0,7.6
State of Play,2009,13+,76,1,0,0,0,0,7.6
The Outlaw Josey Wales,1976,7+,76,1,0,0,0,0,7.6
The Bank Job,2008,18+,76,1,0,0,0,0,7.6
Miss Sloane,2016,18+,76,1,0,0,0,0,7.6
Unknown,2011,13+,75,1,0,0,0,0,7.5
6 Underground,2019,18+,75,1,0,0,0,0,7.5
Uncorked,2020,13+,75,1,0,0,0,0,7.5
Petta,2019,18+,75,1,0,0,0,0,7.5
Justin Timberlake + The Tennessee Kids,2016,18+,75,1,0,0,0,0,7.5
My Fair Lady,1964,all,75,1,0,0,0,0,7.5
"Bikram: Yogi, Guru, Predator",2019,18+,75,1,0,0,0,0,7.5
A Futile and Stupid Gesture,2018,18+,75,1,0,0,0,0,7.5
The Dig,2021,13+,75,1,0,0,0,0,7.5
Legally Blonde,2001,13+,75,1,0,0,0,0,7.5
Legend,2015,18+,75,1,0,0,0,0,7.5
Notes on Blindness,2016,18+,75,1,0,0,0,0,7.5
When We First Met,2018,16+,75,1,0,0,0,0,7.5
Best Worst Thing That Ever Could Have Happened...,2016,18+,75,1,0,0,0,0,7.5
Imperial Dreams,2014,18+,75,1,0,0,0,0,7.5
Black Mirror: Bandersnatch,2018,18+,75,1,0,0,0,0,7.5
Queen,2013,13+,75,1,0,0,0,0,7.5
Joshua: Teenager vs. Superpower,2017,16+,75,1,0,0,0,0,7.5
Air Force One,1997,18+,75,1,0,0,0,0,7.5
Shot Caller,2017,18+,75,1,0,0,0,0,7.5
What Dreams May Come,1998,13+,75,1,0,0,0,0,7.5
Angel Has Fallen,2019,18+,75,1,0,0,0,0,7.5
Crimson Peak,2015,18+,75,1,0,0,0,0,7.5
Lemony Snicket's A Series of Unfortunate Events,2004,7+,75,1,0,0,0,0,7.5
The Red Sea Diving Resort,2019,18+,75,1,0,0,0,0,7.5
The Angel,2018,18+,75,1,0,0,0,0,7.5
Army of the Dead,2021,18+,75,1,0,0,0,0,7.5
Madagascar 3: Europe's Most Wanted,2012,7+,75,1,0,0,0,0,7.5
Icarus,2017,18+,75,1,0,0,0,0,7.5
Collateral Beauty,2016,13+,75,1,0,0,0,0,7.5
The Danish Girl,2015,18+,75,1,0,0,0,0,7.5
Green Zone,2010,18+,75,1,0,1,0,0,7.5
John Mulaney: New in Town,2012,18+,75,1,0,0,0,0,7.5
Strong Island,2017,18+,75,1,0,0,0,0,7.5
The White Tiger,2021,18+,75,1,0,0,0,0,7.5
Defiance,2008,18+,75,1,0,0,0,0,7.5
A Fortunate Man,2018,16+,75,1,0,0,0,0,7.5
The Death of Stalin,2017,18+,75,1,0,0,0,0,7.5
2012,2009,13+,75,1,1,0,0,0,7.5
Underworld: Awakening,2012,18+,74,1,1,0,0,0,7.4
Philomena,2013,13+,74,1,0,0,0,0,7.4
Sanju,2018,18+,74,1,0,0,0,0,7.4
Nappily Ever After,2018,18+,74,1,0,0,0,0,7.4
I Care a Lot,2021,18+,74,1,0,0,0,0,7.4
The Butler,2013,13+,74,1,0,0,0,0,7.4
Qarib Qarib Singlle,2017,18+,74,1,0,0,0,0,7.4
A Single Man,2009,18+,74,1,0,0,0,0,7.4
Home,2015,7+,74,1,0,1,0,0,7.4
Zack and Miri Make a Porno,2008,18+,74,1,1,1,0,0,7.4
Seeing Allred,2018,16+,74,1,0,0,0,0,7.4
Dostana,2008,13+,74,1,0,0,0,0,7.4
Remember Me,2010,13+,74,1,0,0,0,0,7.4
Underworld: Rise of the Lycans,2009,18+,74,1,0,0,0,0,7.4
The Lovely Bones,2009,13+,74,1,0,0,0,0,7.4
Madagascar: Escape 2 Africa,2008,7+,74,1,0,0,0,0,7.4
No Strings Attached,2011,18+,74,1,0,1,0,0,7.4
Heroin(e),2017,18+,74,1,0,0,0,0,7.4
A Ghost Story,2017,18+,74,1,0,0,0,0,7.4
Safety Not Guaranteed,2012,18+,74,1,0,0,0,0,7.4
Game Over,2019,13+,74,1,0,0,0,0,7.4
Peppermint,2018,18+,74,1,0,0,0,0,7.4
Have a Good Trip: Adventures in Psychedelics,2020,18+,74,1,0,0,0,0,7.4
Beasts of No Nation,2015,18+,74,1,0,0,0,0,7.4
Extinction,2018,18+,74,1,0,0,0,0,7.4
Nobody Knows I'm Here,2020,18+,74,1,0,0,0,0,7.4
ARQ,2016,18+,74,1,0,0,0,0,7.4
Ali's Wedding,2017,18+,74,1,0,0,0,0,7.4
Bo Burnham: Make Happy,2016,18+,74,1,0,0,0,0,7.4
Mank,2020,18+,74,1,0,0,0,0,7.4
"Extremely Wicked, Shockingly Evil and Vile",2019,18+,74,1,0,0,0,0,7.4
Due Date,2010,18+,74,1,0,0,0,0,7.4
Between Two Ferns: The Movie,2019,18+,74,1,0,0,0,0,7.4
Ip Man 2,2010,18+,74,1,0,0,0,0,7.4
Mirage,2018,18+,74,1,0,0,0,0,7.4
Puss in Boots,2011,7+,74,1,0,0,0,0,7.4
Austin Powers in Goldmember,2002,13+,74,1,0,0,0,0,7.4
The Kissing Booth,2018,16+,73,1,0,0,0,0,7.3
Hush,2016,18+,73,1,0,0,0,0,7.3
Lost Bullet,2020,18+,73,1,0,0,0,0,7.3
Dil Chahta Hai,2001,all,73,1,0,0,0,0,7.3
Election,1999,18+,73,1,0,1,0,0,7.3
Soni,2019,18+,73,1,0,0,0,0,7.3
Bāhubali: The Beginning,2015,13+,73,1,0,0,0,0,7.3
Killing Them Softly,2012,18+,73,1,0,0,0,0,7.3
Swordfish,2001,18+,73,1,0,0,0,0,7.3
Wish Dragon,2021,7+,73,1,0,0,0,0,7.3
Raees,2017,18+,73,1,0,0,0,0,7.3
Let It Snow,2019,13+,73,1,0,0,0,0,7.3
The Babysitter: Killer Queen,2020,18+,73,1,0,0,0,0,7.3
Hardcore Henry,2015,18+,73,1,0,0,0,0,7.3
Tig Notaro: Happy To Be Here,2018,16+,73,1,0,0,0,0,7.3
Spelling the Dream,2020,all,73,1,0,0,0,0,7.3
Knock Down the House,2019,7+,73,1,0,0,0,0,7.3
Resident Evil: Extinction,2007,18+,73,1,1,0,0,0,7.3
Polar,2019,18+,73,1,0,0,0,0,7.3
Saving Capitalism,2017,7+,73,1,0,0,0,0,7.3
The Untold Tales of Armistead Maupin,2017,18+,73,1,0,0,0,0,7.3
The Mitchells vs. The Machines,2021,7+,73,1,0,0,0,0,7.3
Spenser Confidential,2020,18+,73,1,0,0,0,0,7.3
Psychokinesis,2018,18+,73,1,0,0,0,0,7.3
Monsters vs Aliens,2009,7+,73,1,0,0,0,0,7.3
Twilight,2008,13+,73,1,0,1,0,0,7.3
Self/less,2015,13+,73,1,0,0,0,0,7.3
The Highwaymen,2019,18+,73,1,0,0,0,0,7.3
ParaNorman,2012,7+,73,1,0,0,0,0,7.3
Holidate,2020,18+,73,1,0,0,0,0,7.3
Fear Street Part Two: 1978,2021,18+,73,1,0,0,0,0,7.3
Pee-wee's Big Holiday,2016,7+,73,1,0,0,0,0,7.3
Gunpowder Milkshake,2021,18+,73,1,0,0,0,0,7.3
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,73,1,0,0,0,0,7.3
I Am Not Your Negro,2017,18+,73,1,1,0,0,0,7.3
Midnight Special,2016,13+,73,1,0,0,0,0,7.3
Layla M.,2016,18+,73,1,0,0,0,0,7.3
Homefront,2013,18+,73,1,0,0,0,0,7.3
The Squid and the Whale,2005,18+,73,1,0,0,0,0,7.3
Comedian,2002,18+,73,1,0,0,0,0,7.3
No Escape,2015,18+,73,1,0,0,0,0,7.3
Mercury 13,2018,18+,73,1,0,0,0,0,7.3
The Professor and the Madman,2019,18+,73,1,0,0,0,0,7.3
Asperger's Are Us,2016,18+,73,1,0,0,0,0,7.3
The Garden of Words,2013,13+,73,1,0,0,0,0,7.3
Fractured,2019,18+,73,1,0,1,0,0,7.3
The Queen,2006,13+,73,1,0,0,0,0,7.3
The Whole Nine Yards,2000,18+,72,1,0,0,0,0,7.2
E-Team,2014,18+,72,1,0,0,0,0,7.2
The Discovery,2017,18+,72,1,0,0,0,0,7.2
The Strangers,2008,18+,72,1,0,0,0,0,7.2
Penguins of Madagascar,2014,7+,72,1,0,0,0,0,7.2
She's Out of My League,2010,18+,72,1,0,1,0,0,7.2
Voyeur,2017,18+,72,1,0,0,0,0,7.2
It Comes at Night,2017,18+,72,1,0,0,0,0,7.2
The Manchurian Candidate,2004,18+,72,1,0,1,0,0,7.2
Bon Cop Bad Cop 2,2017,18+,72,1,0,0,0,0,7.2
Hot Rod,2007,13+,72,1,0,1,0,0,7.2
The BFG,2016,7+,72,1,0,0,0,0,7.2
Sunday's Illness,2018,13+,72,1,0,0,0,0,7.2
The Lorax,2012,7+,72,1,1,0,0,0,7.2
Win It All,2017,18+,72,1,0,0,0,0,7.2
Mile 22,2018,18+,72,1,0,0,0,0,7.2
Tenacious D in The Pick of Destiny,2006,18+,72,1,0,0,0,0,7.2
The Sum of All Fears,2002,13+,72,1,0,0,0,0,7.2
G.O.R.A.,2004,13+,72,1,0,0,0,0,7.2
The Perfect Date,2019,16+,72,1,0,0,0,0,7.2
Code 8,2019,18+,72,1,0,0,0,0,7.2
Cowspiracy: The Sustainability Secret,2014,18+,72,1,0,0,0,0,7.2
Life As We Know It,2010,13+,72,1,0,0,0,0,7.2
American Assassin,2017,18+,72,1,0,0,0,0,7.2
August: Osage County,2013,18+,72,1,0,0,0,0,7.2
Kuch Kuch Hota Hai,1998,all,72,1,0,0,0,0,7.2
Who Am I,2014,18+,72,1,0,0,0,0,7.2
Free State of Jones,2016,18+,72,1,0,0,0,0,7.2
Beast Stalker,2008,18+,72,1,0,0,0,0,7.2
Dark Skies,2013,16+,72,1,0,0,0,0,7.2
Safe Haven,2013,13+,72,1,0,0,0,0,7.2
Bāhubali 2: The Conclusion,2017,7+,72,1,0,0,0,0,7.2
Outlaw King,2018,18+,72,1,0,0,0,0,7.2
Cloudy with a Chance of Meatballs 2,2013,7+,72,1,0,0,0,0,7.2
Turbo,2013,7+,72,1,0,0,0,0,7.2
G.I. Joe: The Rise of Cobra,2009,13+,72,1,0,0,0,0,7.2
Horns,2013,18+,72,1,0,0,0,0,7.2
Drishyam,2015,18+,72,1,0,0,0,0,7.2
Triple Frontier,2019,18+,72,1,0,0,0,0,7.2
"Hail, Caesar!",2016,13+,72,1,0,0,0,0,7.2
The Ice Road,2021,13+,72,1,0,0,0,0,7.2
Monster House,2006,7+,72,1,0,0,0,0,7.2
Freaks,2019,18+,72,1,0,0,0,0,7.2
Felon,2008,18+,72,1,0,0,0,0,7.2
